description,COMMODITY_LEAF_PREDICTED
"BRDGPORT 519-DC2 3/8 SCR-IN FLXCONN CONDUIT CONNECTOR 100/BX, 1000/CS",899867
APP STG-400 4-IN O-RING ASSEMBLY CS/10,899873
FTG SC-125 F694 1-1/4 D/C SQZ FLEX CONN 10/BX 100/CS,899869
ETP 4QS-200T 2 INS STEEL LT CONN CS/2,899873
CPP 3/4 X 6 COND NIP GAL 25/BX 25020712,899752
OZ-G T-150 1-1/2 MALL T COND BODY CS/2,899873
OZ-G C-100 1IN MALL C COND BODY CS/5,899873
CPP 3/4 COND 90 ELBOW GAL 50/BX 22020700,899866
GE 100/300/6PK 120V WHT MOG3WAY 30/CASE   41459   *BP,898885
C-H PRL1A3225X42C 225A PNLBD INTR 208Y/120V DELISTED REPLACED BY: xPRL1X3225X42Cx,899778
APP RB300-200 3X2 RED BUSH CS/5,899873
LEV 2331 LKG PLUG L7-20P 1/BOX 10/CASE,900010
LEV 2333 LKG CONN L7-20R 1/BOX 10/CASE,900008
OZ-G LL-100 1IN MALL LL COND BODY CS/5,899873
FTG SC-150 F695 1-1/2 D/C SQZ FLEX CONN 5/BX 50/CS,899869
CPP 2-1/2 X 4 COND NIP GAL 10/BX 25022508,899878
FTG PB-200-D F989 3/4 105D PLSTC INSBSH 100/BX 1000/CS,899830
ETP 4QS-50T 1/2 INS STEEL LT CONN CS/25,899864
C-H 5155C62H01 1POLE FILLER PLATE BAB AND GHB BREAKERS,899778
APP STG-300 3-IN O-RING ASSEMBLY CS/5,899873
GE CMH70/U/830/MED LAMP 6/CASE   22119,898910
GE TGL20 ADD-ON GROUND KIT,899778
ALLIED 9363-EWK 1G 2-7/8D SW BOX 100/BX,899755
CPP 3 X CL COND NIP GAL 10/BX 25023001,899878
CPP 4 X CL COND NIP GAL 10/BX 25024001,899878
"UNIS HFEWDE025EG 1/4"" X 1"" FENDER WASHER ELECTRO GALVANIZED FINISH",899859
CPP 1/2 X 2 COND NIP GAL 25/BX 25020504,899752
 WIRE THHN-6-YEL-19STR-CU-5000MSTR,899956
GE 25T7DC 120V CLR T7 DC BAY LAMP 60/CASE   14741,898899
GE MVR320/VBU/HO/PA MH LAMP 12/CASE   27501,898910
VIKING 38BX 1-HOLE CABLE STRAP BX 100/BX 1000/CS,899830
OZ-G BS125S 1-1/4&1-1/2 CND BDY CVR CS/25,899752
GE MCRA022ATJ AC OPER CNTRL RELAY,899752
NER C-2001-R 2IN D/C 2SCR SEC CONN CS/20,899873
WIRE NM-B-10/2-CU-WG 1 X 250'C,899958
HUBW S3082 BRS DPLX CARPET FLNG 10/BX,901165
CPP 2-1/2 COND 90 ELBOW GAL 22022500,899866
CPP 2-1/2 X 6 COND NIP GAL 10/BX 25022512,899878
CPP 1/2 X 3 COND NIP GAL 25/BX 25020506,899752
OZ-G FSC175 1G MALL FSC BOX CS/5,899873
LEV 4700-IG IG DPLX RCPT-NM L5-15R 10/BOX 50/CASE,899978
APP BL-50 1/2 STEEL LOCKNUT CS/100,899873
STL-CTY CX 3-1/2D BX SW BOX W/EARS -/BX 25/CS,899756
CPP 1/2 X 4 COND NIP GAL 25/BX 25020508,899752
NER 1702 1H STEEL SEC STRAP :DE2503,899873
ETP 4QS-75T 3/4 INS STEEL LT CONN CS/10,899873
NER 1704 1H STEEL SEU STRAP FOR #4 & #6 CS/100,899873
"UNIS HHCS037200EG 3/8"" X 2"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
NER RB-10 1-1/2X1 REDUCING BUSHING CS/25,899873
NER RB-11 1-1/2X1-1/4 RED BUSHING CS/25,899873
ADV 71A7971001D HPS BAL 70W S62 QUAD KIT,898834
NER RB-14 2X1 REDUCING BUSHING CS/10,899873
NER RB-15 2X1-1/4 REDUCING BUSHING CS/10,899873
NER 1710 1H STEEL SEC STRAP CS/25,899873
NER RB-16 2X1-1/2 REDUCING BUSHING CS/10,899873
OZ-G T50A 1/2 ALUM T COND BODY CS/10,899873
"BRDGPORT 801-DC2 3/8 90D2SCR FLXCON CONDUIT CONNECTOR 25/BX, 250/CS",899867
NER 1740 1H STEEL SEU STRAP FOR 3/O &4/O CS/25,899873
APP CG-6275S 3/4 STL STR CORD CONN CS/25,901161
STL-CTY 52151-1/2&3/4 4SQ1-1/2D BOX -/BX 50/CS,899756
OZ-G C50A 1/2 ALUM C COND BODY CS/10,899873
FTG SC-200 F696 2-IN D/C SQZ FLEX CONN 10/BX 50/CS,899869
STL-CTY 52171-3/4 4SQ 2-1/8D BOX -/BX 50/CS,899756
ALLIED 9338-ESK 3-1/2 RNDBOXW/EAR 50/BX,899755
NER 1804 1-1/4 1H STEEL COND STRAP CS/10,899873
NER 1805 1-1/2 1H STEEL COND STRAP CS/10,899873
NER 1806 2-IN 1H STEEL COND STRAP CS/50,899873
GE MVR400/VBUED28PA MH LAMP 12/CASE   46271 **DISCONTINUED**,898910
NER 1807 2-1/2 1H STEEL COND STRAP CS/30,899873
NER 1808 3-IN 1H STEEL COND STRAP CS/25,899873
NER 1809 3-1/2 1H STEEL COND STRAP CS/10,899752
NER ECO-102 1-IN CLAMP-ON ENT CAP CS/5,899871
NER ECO-105 2-IN CLAMP-ON ENT CAP CS/5,899871
IDEAL 30-430 9-IN SIDE CUT PLIERS 1/BX 1/CS *DISCONTINUED REPLACED BY 30-435,899838
NER ECO-106 2-1/2 CLAMP-ON ENT CAP CS/1,899871
3-IN CW SEALTITE BLUE 25FT CTN MSTR,899929
CPP 1/2 X 6 COND NIP GAL 25/BX 25020512,899752
APP UNY50NR 1/2 MALE UNION CS/10,899873
CPP 1-1/2 COND 45 ELBOW EMT 30/BX 22251500,899867
CPP 2 X CL COND NIP GAL 25/BX 25022001,899752
HUBW SS309B BLANK FLOOR PLATE 30/BX,901165
NER CH-200-B F802B 1-IN COND HGR W/BOLT CS/100,899873
WIRE TFFN-16-ORN-26STR-CU-500S,899956
CPP 3 COND 90 ELBOW EMT 22053000,899867
FTG 1905 FS-150 1-1/2 1H STEEL EMT STRAP 50/BX 250/CS,899867
FTG CNN-900 F1559 3-1/2 DC COND NIPPLE 5/BX 50/CS,899752
NER 1906 2-IN 1H STEEL EMT STRAP CS/50,899873
CPP 4 COND 45 ELBOW GAL 22224000,899866
ALLIED 9368-EWK 1G WORK BOX 100/BX,899755
OZ-G T75A 3/4 ALUM T COND BODY CS/10,899873
ERC CS812D STUD ATTACH ASSEMBLY 100/BX,899877
CPP 1/2 COND 90 ELBOW GAL 22020500,899866
OZ-G C75A 3/4 ALUM C COND BODY CS/10,899873
APP PLG100R 1-IN RECESSED PLUG CS/25,899873
CPP 4 X 4 COND NIP GAL 6/BX 25024008,899878
CPP 4 COND 45 ELBOW EMT 22254000,899867
C-H BR48L125SGP 125A ML SFC LDCTR,899778
GE 460XP32 2P POWER BLOCK,900017
TORK DZS400BP MULTIVOLT 365 DAY ASTRO SUPERCAP 4 CH. 20A SPDT W/PORTABLE MEM. MODULE,898873
FTG GBL-100 FGB-500 1/2 INS GRD BUSHING 100/BX 1000/CS,899830
C-H 10250T2 STANDARD CONTACT BLOCK,899801
GE 463L20ACA 24V 2NO OPN LTG CNTCTR,899752
BODINE B50 ELC EMERGENCY BALLAST,898828
GE THN3361R 30A-600V-3PNF SW,899786
GE THN3362R 60A-600V-3PNF SW,899785
GE TQPL TQP HNDL LOCK,899752
GE THN3363R 100A-600V-3PNF SW,899785
WIRE SVC-DROP 2-4ACSR-PALOMINO-PE 1800MSTR,899752
LEV 26725-413 SCR-DOWN CFL LMPHLDR 1/BOX 5/CASE,898809
LEV 80704-W WHT NYL 1G SGL RCPT PLT 25/BOX 100/CASE,900004
GE THQP115 1P 15A 120V PLUG-IN CB,900017
GE TCAL18 LUG KIT,899830
GE TCAL29 LUG KIT,899830
FTG SC-250 F697 2-1/2 D/C SQZ FLEX CONN 5/CS,899869
VYN VJ1614HWPL2 NON-METALLIC ENCLOSURE  REINFORCED POLYESTER BOX W/ PADLOCK LATCH 842405-0359 REFERENCE 269704-00 (MPS SCREWS INCLUDED) MUST ORDER 10 PCS TO GET PRICING,899756
ACME T137921 1.5KVA BUCK&BOOST BUCK AND BOOST DRY TYPE TRANSFORMER 1/BX,899752
ACME T137922 2KVA BUCK&BOOST TFMR BUCK AND BOOST TRANSFORMER 1/BX,899752
GE THQB2115 2P15A 120/240 BLT-ON CB,900017
GE THQB2120 2P20A 120/240 BLT-ON CB,900017
GE THQB2130 2P30A 120/240 BLT-ON CB,900017
GE THQB2140 2P40A 120/240 BLT-ON CB,900017
GE THQB2150 2P50A 120/240 BLT-ON CB,900017
GE THQB2160 2P60A 120/240 BLT-ON CB,900017
GE TM4020CCU 200A LD-CNTR,898885
C-H BREQS125 HOLD DOWN SCREW,899778
C-H 1MP4124RRL MTR PACK 125A NM3R,900020
WIRE TFN-18-WHT-SOLID-CU-500S,899956
EPCO 17030 CLR T8 8FT TUBE GUARD (94 7/16) 24/BX,899752
CABLE 12/3 MC ALL PURP AL 1000',899951
LAMPTRACKER TLJ 4FT LITE TRIGUARD 64-T8 OR 30-T12 LAMPS,899752
