COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
"Wire Terminations, Connections & Grounding",899720,Wire Terminals,899819,66 Blocks,899994,,,899994
Lighting,898795,Lamps,898804,LED Lamps,898877,,,898877
"Wire, Cords & Cables",899715,Flexible & Portable Cord,899723,SJO/SJOOW/SJEOW Portable Cord,899948,,,899948
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,Gasketed Boxes,899753,899753
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,"Condulets, Covers & Gaskets",899858,Gaskets,899885,899885
Lighting,898795,Lighting Parts & Accessories,898806,Lampholders,898807,,,898807
Electrical Distribution,899719,Control & Automation,899736,Enclosures & Accessories,899742,Pushbutton Enclosures,899749,899749
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Incandescent Reflector Lamps,898915,898915
Tools & Equipment,899709,Batteries & Power,899914,9 Volt Batteries,899961,,,899961
Lighting,898795,Lamps,898804,"Quartz, Halogen & Specialty Lamps",898881,"Quartz, Halogen & Specialty Decorative Lamps",898929,898929
Heating & Ventilation,898953,Ventilation Fans,898955,Bath Fans,898956,,,898956
"Safety, Signaling & Alarms",898934,Fire Safety & Protection,898935,Carbon Monoxide Detectors,898937,,,898937
Electrical Distribution,899719,Panelboards & Load Centers,899731,Pool & Spa Panels & Load Centers,899779,,,899779
"Fittings, Hardware & Cable Management",899717,"Brackets, Supports, Hanging & Mounting",899853,,,,,899853
"Wire, Cords & Cables",899715,Data Communication & Low Voltage Cable,899726,Coaxial Cable,899939,,,899939
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Switch Parts & Accessories,899989,,,899989
Electrical Distribution,899719,Control & Automation,899736,Enclosures & Accessories,899742,,,899742
"Conduit, Raceway & Strut",899716,,,,,,,899716
