COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Commercial Grade Switches,899985,,,899985
Lighting,898795,Indoor Lighting,898798,Linear Fixtures,898844,Wrap Fixtures,898846,898846
Lighting,898795,Indoor Lighting,898798,LED Panels,898850,2X2 LED Panels,898852,898852
"Fittings, Hardware & Cable Management",899717,"Nails, Screws, Washers & Anchors",899848,Anchors,899852,,,899852
Lighting,898795,Lamps,898804,Lamp Recycling,898882,,,898882
"Fittings, Hardware & Cable Management",899717,Cable Tray & Fasteners,899860,Cable Tray & Accessories,899874,,,899874
Lighting,898795,Ballasts & LED Drivers,898805,LED Drivers,898835,,,898835
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,Locking Receptacles,899982,,,899982
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,"Condulets, Covers & Gaskets",899858,,,899858
Tools & Equipment,899709,Hand Tools,899895,Pliers,899926,,,899926
"Fittings, Hardware & Cable Management",899717,"Brackets, Supports, Hanging & Mounting",899853,Hanging & Mounting Accessories,899878,,,899878
"Conduit, Raceway & Strut",899716,Liquid Tight Conduit,899970,,,,,899970
"Safety, Signaling & Alarms",898934,Personal Protective Equipment,898942,Head Protection,898944,,,898944
Data & Communication,901107,Racks & Pathway,901145,Basket Tray,901147,,,901147
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,Fiberglass Boxes,899755,899755
Tools & Equipment,899709,Test & Measurement,899886,"Testing, Accessories & Replacement Leads",899892,,,899892
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Hubs,899861,,,899861
Electrical Distribution,899719,Metering,899740,Pedestal Enclosures,899796,,,899796
Lighting,898795,Emergency Lighting,898801,Emergency Lighting,898814,Emergency Fixtures,898815,898815
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Flex Fittings,899869,,,899869
Lighting,898795,Outdoor Lighting,898800,Security Lighting,898868,,,898868
Lighting,898795,Lighting Controls,898803,,,,,898803
Heating & Ventilation,898953,Ventilation Fans,898955,Combination Light & Fan,898957,,,898957
Lighting,898795,Emergency Lighting,898801,Emergency Accessories,898817,Emergency Lighting Batteries,898818,898818
"Wire Terminations, Connections & Grounding",899720,Marking & Labelling,899805,Wire Marker Books,899823,,,899823
"Wire Terminations, Connections & Grounding",899720,Marking & Labelling,899805,Cartridge Refills & Ribbon,899824,,,899824
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,Floor Boxes & Accessories,901165,901165
Lighting,898795,Lamps,898804,LED Lamps,898877,LED Globe Lamps,898893,898893
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper Romex/NM Cable,899952,,,899952
Lighting,898795,Indoor Lighting,898798,Track Lighting,898856,Track Fixtures,898857,898857
Electric Vehicle Charging,900074,EV Accessories,900078,,,,,900078
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Twist-On Connectors,899838,,,899838
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,Tamper Resistant Receptacles,899979,,,899979
Lighting,898795,Indoor Lighting,898798,Downlighting,898836,Downlight Recessed Housings,898837,898837
Data & Communication,901107,Racks & Pathway,901145,Ladder Rack & Closet Support,901146,,,901146
Lighting,898795,Lighting Controls,898803,Photocontrols,898874,,,898874
Lighting,898795,Ballasts & LED Drivers,898805,Compact Fluorescent Ballasts,898833,,,898833
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Toggle Plates,900005,,,900005
Tools & Equipment,899709,Test & Measurement,899886,Circuit Tracing Tools,899889,,,899889
Tools & Equipment,899709,Hand Tools,899895,Tool Kits,899931,,,899931
Lighting,898795,Indoor Lighting,898798,LED Panels,898850,2X4 LED Panels,898853,898853
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper UF Underground Feeder Cable,899957,,,899957
"Conduit, Raceway & Strut",899716,PVC Conduit,899968,,,,,899968
"Safety, Signaling & Alarms",898934,Fire Safety & Protection,898935,Fire Stop Products and Sealants,898940,,,898940
"Wire, Cords & Cables",899715,Aluminum Building Wire,899722,ACSR Aluminum Conductor Steel Reinforced Service Drop Cable,899943,,,899943
Lighting,898795,Indoor Lighting,898798,Downlighting,898836,LED Retrofits,898839,898839
Lighting,898795,Lamps,898804,Fluorescent Lamps,898878,Fluorescent Linear / U Lamps,898899,898899
Electrical Distribution,899719,Control & Automation,899736,Starters & Combo Starters,899765,,,899765
Lighting,898795,Indoor Lighting,898798,Highbays,898860,,,898860
"Fittings, Hardware & Cable Management",899717,Plugs & Sealers,899873,,,,,899873
"Wire Terminations, Connections & Grounding",899720,Heat & Cold Shrink,899821,Heat Shrink,899834,,,899834
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Residential Grade Switches,899988,,,899988
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,PVC Boxes,899758,899758
"Safety, Signaling & Alarms",898934,Barricade Tape,898950,,,,,898950
"Wire Terminations, Connections & Grounding",899720,Lugs,899813,Compression Lugs,899830,,,899830
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Push-In Connectors,899837,,,899837
"Fittings, Hardware & Cable Management",899717,Cable Tray & Fasteners,899860,"Cable Straps, Clips & Staples",899829,Cable Straps,899844,899844
Electrical Distribution,899719,Panelboards & Load Centers,899731,Panel & Load Center Parts & Accessories,899778,,,899778
"Fittings, Hardware & Cable Management",899717,"Nails, Screws, Washers & Anchors",899848,Screws,899850,,,899850
Electrical Distribution,899719,Fuses,899806,Specialty Fuses,899810,,,899810
"Safety, Signaling & Alarms",898934,Personal Protective Equipment,898942,Eye Protection,898946,,,898946
"Wiring Devices, Boxes & Plates",899718,Plugs & Connectors,900006,Straight Blade Plugs,900009,,,900009
Lighting,898795,Outdoor Lighting,898800,Wall Mount Lighting,898865,,,898865
"Fittings, Hardware & Cable Management",899717,Cable Tray & Fasteners,899860,"Cable Straps, Clips & Staples",899829,Staples,899846,899846
Tools & Equipment,899709,Drilling & Hole-Making,899893,Bits & Augers,900031,,,900031
Tools & Equipment,899709,Test & Measurement,899886,Multimeters,899887,,,899887
Tools & Equipment,899709,Hand Tools,899895,Wrenches & Sockets,899928,,,899928
Electrical Distribution,899719,Metering,899740,Meter Socket Breakers,899793,,,899793
Electrical Distribution,899719,Safety Switches & Disconnects,899733,Safety Switch Parts & Accessories,899787,,,899787
Heating & Ventilation,898953,Ventilation Fans,898955,,,,,898955
Electrical Distribution,899719,Metering,899740,Group Metering,900019,Meter Stacks,900020,900020
Electrical Distribution,899719,Panelboards & Load Centers,899731,Main Breaker Panels & Load Centers,899776,,,899776
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Vintage-Edison Lamps,898919,898919
Lighting,898795,Outdoor Lighting,898800,Landscape Lighting,898867,,,898867
Electric Vehicle Charging,900074,Pedestal Chargers,900075,,,,,900075
Lighting,898795,Lamps,898804,HID Lamps,898879,High Pressure Sodium Lamps,898911,898911
Tools & Equipment,899709,"Fish Tape, Rod, & Accessories",899918,Fish Rod,901037,,,901037
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,USB Receptacles,899984,,,899984
Lighting,898795,Indoor Lighting,898798,Under Cabinet Lighting,898861,,,898861
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Entrance Caps,899871,,,899871
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Incandescent PAR Lamps,898914,898914
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Combination Fittings,899862,,,899862
Tools & Equipment,899709,"Fish Tape, Rod, & Accessories",899918,Fish Tape Repair,900038,,,900038
Tools & Equipment,899709,Hand Tools,899895,Hacksaws,899923,,,899923
"Wire, Cords & Cables",899715,Aluminum Building Wire,899722,Aluminum URD Underground Distribution Cable,899946,,,899946
Electrical Distribution,899719,Surge & GFCI Protection,899764,,,,,899764
Lighting,898795,Emergency Lighting,898801,Emergency Power,898821,Emergency Drivers,898823,898823
Tools & Equipment,899709,Drilling & Hole-Making,899893,Drill Taps,900032,,,900032
Lighting,898795,Indoor Lighting,898798,Decorative Lighting & Accessories,898862,,,898862
Lighting,898795,Lighting Parts & Accessories,898806,Tubeguards,898832,,,898832
