PRODUCT_ID,COMMODITY_LEAF,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description
9442,899877,ERC 12P24SM 3/4 PUSH-IN CLIP 100/BX,CADDY,CADDY,"CAD12P24SM 12P24SM 782856 11262 3/4
CLIP ERC PUSH-IN

STK CADDY
WEBREADY",,
9448,900017,C-H BR3100 3P-240V-100A CB,CUTHAM,CUTHAM,"CHBR3100 BR3100 786676 36809
3P-240V-100A CB CHCPD

STK CUTHAM
WEBREADY",,
9455,899985,LEV 54504-2W 4WY 15A 277V WHT AC SW 10/BOX 20/CASE,LEVITON,LEVITON,"LEV545042W LEV 078477 12471


STK LEVITON
WEBREADY",,
14199,899930,"KLEIN 44000BLK POCKET KNIFE, LOCKBACK, BLACK ALUMINUM, 2-1/4"" SS DROP POINT BLADE",KLEIN,KLEIN,"KLN44000BLK 44000BLK 092644 44010
2-1/4 44000-BLK KLEIN POCKE SS

STK KLEIN
WEBREADY",,
9469,898910,GE MXR70/U/MED/O MH LAMP 6/CASE   12377,GELAMP,GELAMP,"EXTERIOR

GELMXR70UMEDO MXR70/U/ME 043168
12377 LAMP MH MXR70/U/MED/O

STK GELAMP
WEBREADY
26.53
27.33",,
14823,899977,LEV 8450 RECEPTACLE 15-50R 1/BOX 10/CASE,LEVITON,LEVITON,"LEV8450 8450 078477 84332 15-50R
RECEPTACLE
WEBREADY",,
9521,900005,LEV 84006-40 SS 1TOG&BLANK PLATE 10/BOX 100/CASE,LEVITON,LEVITON,"LEV8400640 84006-40 078477 81248
1TOG&BLANK PLA SS",,
9523,899985,LEV CS120-2W SP 20A 120-277V WHT SW 10/BOX 100/CASE,LEVITON,LEVITON,"LEVCS1202W LEV CS120- 078477 81574

WEBREADY OSU
STK LEVITON
WEBREADY",,
18690,899977,HUBW HBL5461I SGL RCPT NEMA6-20R 10/BX,HUBWIRE,HUBWIRE,"HUBHBL5461I HUB 783585 01396
HUBBELL RCPT-NEMA6-2 SGL",,
9566,899826,NSI G-4 1-1/4-2IN ARMORED WIRE CLMP 1/BX,NSI,NSI,"NSIG4 G-4 662381 01015 1/4-2
ARMORED C WIRE

STK NSI
WEBREADY",,
12738,899951,CABLE 12/3 MC STRANDED 1 X 250'C,MCCABLE,MCCABLE,"MCAL123STR WIRE - ALU 12/3 CABLE G
W/GRN

STK MCCABLE
WEBREADY",,
9611,899997,LEV 84092-40 2G SS SGL RCPT PLATE 10/BOX 100/CASE,LEVITON,LEVITON,"LEV8409240 84092-40 078477 78085 2G
PL RCPT SGL SS",,
9627,900018,C-H H2007B-3 FREEDOM HEATER PAK3 *** 1PK = 3 HEATERS ***,CUTHAM,CUTHAM,"CHH2007B3 H2007B-3 782113 96753 C-H
ELEMENT HEATER PA",,
